Tmax_b,Tmin_b,Rhmin,Rhmax,Tmax,Tmin,Heatwave
32.8,23.8,55.48225784,88.54444122,29.0029541,23.62606201,1
31.5,24.2,69.35322571,91.62036133,27.17833862,22.80428467,0
29,23.1,51.19054794,91.49139404,29.91430054,21.12609253,0
31.6,20.9,68.92434692,88.82530212,30.15212402,23.17904053,0
31.7,22.3,53.60372162,94.1686554,31.38509522,22.03460083,0
31.3,22.3,64.27375031,93.69507599,29.65801392,22.79226074,0
30.1,23,76.85306549,91.95833588,28.28795776,24.73845825,0
26.9,23.7,77.69295502,93.92953491,28.17022095,23.88619385,0
28.2,24.1,59.46441269,94.54233551,30.84365234,24.62767944,0
27.5,25,71.66117859,94.01750183,28.21575317,24.73626099,0
26.1,24.9,85.54941559,95.66423798,25.34536133,22.95009766,0
25.4,24.1,89.2301712,95.73889923,26.15917358,23.15383301,0
25.8,22.8,83.46953583,94.92719269,27.23616943,24.70440064,0
26.6,24,67.45999908,95.37055969,30.49578247,23.4795166,0
30,24,76.5385437,91.44303894,27.56005249,24.79909668,0
30.6,26,62.90438461,94.82524109,28.61202393,22.93535767,0
26.7,23.8,77.27007294,93.42539215,27.03536377,24.40575562,0
28.8,24.1,55.31237412,89.67024994,31.19124756,24.57210693,0
31.5,23.7,61.2994957,88.40470123,30.74120483,24.75213013,0
31.9,25.5,76.84783936,87.81034851,27.6423584,26.00054321,0
29.3,26.2,76.22875214,93.52114868,29.14290772,25.21557007,0
30.7,24.5,85.78993225,92.32154083,26.90917358,25.54680786,0
27.4,25.2,64.34263611,95.25247955,28.20025024,23.54482422,0
28.1,24.1,57.01711655,89.82654572,28.79393921,23.04360352,0
32.1,24.5,52.53866959,80.90621948,30.33403931,23.98919067,0
31.6,23.5,75.16755676,92.73491669,28.41387329,23.92312012,0
31.1,25.8,53.46671677,90.35497284,31.6869751,24.33114014,0
30.9,24,60.2903862,93.77618408,29.74038086,24.82186279,0
30.3,24.6,52.66659927,83.85703278,31.55129395,24.65895996,1
33.2,24.6,74.18791962,90.05603027,29.60149536,25.76143799,0
32.8,27.1,57.5011673,93.33791351,32.27410278,25.83406982,1
32.4,26.1,70.57148743,90.03610229,30.8718811,26.5944458,0
28.5,23.1,57.96966934,93.44230652,32.70974121,24.54482422,1
33.6,25,58.47989655,89.99736786,33.55196533,27.4192749,1
34.7,27.5,80.01276398,91.76472473,30.27007446,27.92254028,0
31.8,27.2,49.67222595,91.06105804,33.16338501,25.46657715,0
34.8,27,45.67655563,88.12961578,33.16399536,26.51278076,1
35.5,25.8,49.72852325,87.50782776,31.79433594,26.69100342,1
34.4,26,55.80028152,86.59433746,32.07689819,26.43120728,1
32.7,26.1,53.82346344,89.99225616,32.62160645,26.85738525,1
33.6,27,52.71583557,88.56814575,31.74041138,26.67510376,1
32.5,27.2,59.71160507,92.90865326,31.36617432,26.60738525,1
32.5,27.4,48.34871292,94.40299988,32.57433472,25.50084839,1
34.4,26.1,36.09798431,80.42810059,33.00841675,24.71740112,1
34.2,23.8,46.0054245,80.42072296,33.56969605,24.92415772,1
35.1,25.2,47.65464401,78.8403244,33.96965942,27.01732788,1
34.1,22.7,38.69195175,75.65500641,31.95021973,23.62212524,1
33.6,23.1,34.35089874,75.35910034,31.91332398,23.1640564,1
33.5,23.4,52.28696823,77.61161804,29.33077393,23.10674439,0
29.8,24.1,57.4250679,85.47623444,28.70543823,23.41628418,0
27.4,24,50.22927475,91.93533325,27.58471069,23.60933838,0
29,23.8,41.77415466,80.07519531,28.09508667,22.18532715,0
31.7,21.9,55.39965057,83.30165863,29.45281372,23.14516602,0
31.1,23.3,76.86698151,92.75868225,23.53258667,21.11727295,0
33.6,22.7,41.18695068,78.34333801,31.12059937,22.63488159,0
30.4,22.6,35.82839584,88.82174683,30.09011231,23.1947876,0
29.9,23.6,39.38552856,79.61504364,32.29012451,22.30419312,1
29.7,24.6,55.34235382,91.1027298,33.29482422,24.47506104,1
34.8,25.2,26.4895649,93.44628143,34.3171936,25.00731812,1
34.6,25.7,39.30303192,90.62407684,31.18309937,22.76183472,1
29.4,23,54.42623901,87.52759552,28.61513672,22.3199707,0
29.4,24.2,48.6031189,89.55652618,29.43666992,23.00206909,1
31.7,23,54.44561005,90.93114471,29.593927,22.90221558,1
32.8,24,51.63981628,90.55302429,29.08834229,22.13948975,1
30,23.9,83.45619965,95.210495,26.53945313,23.16448364,0
31.3,21.7,51.03547668,90.47920227,31.63942871,24.36812744,0
25.6,22.6,55.28294754,95.29714966,29.54894409,22.53725586,0
25.1,19.5,73.61935425,95.55551147,31.59316406,22.95073853,1
35.9,22.6,58.42541122,87.15335083,26.9354187,23.71032105,0
27.1,21.6,44.84378815,91.85938263,30.50994263,20.74300537,0
31.6,21.3,47.40922928,88.28500366,30.83468018,22.69066773,1
33.4,22,57.86732864,90.93813324,27.8432251,22.58800659,0
29.9,23.6,51.51530075,87.21305084,31.59084473,23.26104126,1
33.6,24.8,50.47029877,87.00779724,32.85436401,25.74141846,1
35.5,24.7,48.75647736,80.41421509,34.58538208,26.79534302,1
35.1,29.2,60.11690521,88.16810608,30.49877319,24.94060669,0
29.8,24.5,76.1646347,94.11054993,28.16280518,24.56548462,0
29.2,24.6,50.99747467,91.00237274,30.83504639,25.09450684,0
30.2,25.3,78.61322021,89.70637512,26.84520874,24.13738403,0
26.9,22.9,48.97158432,95.73304749,29.15484009,22.53942261,0
28.3,22.8,37.35431671,91.55767822,32.09932861,21.75170288,0
31.4,21.4,37.15549088,73.87521362,31.12560425,21.47698364,0
32.2,23.2,58.49668884,87.88528442,28.03249512,22.31554565,0
28,20.5,52.63481522,94.78701019,27.96938477,19.58913574,0
29.6,19.8,49.50090027,91.22371674,29.95910034,22.65285645,0
29.9,22.7,71.90426636,90.62646484,25.70046387,22.81740723,0
27.9,22.9,69.15386963,90.45361328,24.72368774,21.12606201,0
24.3,21,51.78513336,93.53314972,29.32589111,20.63594971,0
29.8,21.6,49.01368713,90.8443222,30.09935913,22.66896973,0
30.7,22.3,72.65851593,92.55069733,25.92467651,22.3154541,0
26,23.4,75.51405334,92.81287384,23.89333496,20.8348938,0
25.6,21.1,76.12126923,96.16397095,25.199823,20.83831177,0
29.2,22.9,81.99220276,94.36004639,25.09060059,22.1635376,0
25.1,22.3,60.11822128,94.14716339,27.8253418,21.75386963,0
29.2,22,65.30226898,92.82744598,27.19481812,23.46917114,0
29.1,23.3,52.02505875,92.94937897,28.29787598,21.94338379,0
31,22,64.64709473,92.07971191,26.34017334,23.53887329,0
29.1,24.4,50.06796265,87.95422363,29.59310303,22.99224243,0
30.6,23.1,47.8523941,85.21781921,28.47161255,20.71697388,0
29,21.8,47.73422241,80.86093903,28.79842529,20.54332886,0
32.2,21.1,47.75268936,91.04103088,28.67806397,21.2326294,0
31.9,21.6,39.02199936,88.8833847,28.91945801,20.45290527,0
30.8,20.6,39.16719055,87.8833313,28.05367432,19.64354858,0
30.9,21.4,49.95734787,88.64645386,25.76732788,20.72786865,0
27.6,21.6,29.86995888,88.6374588,28.42272339,19.96746216,0
29.6,20.9,30.36863899,89.75488281,27.98143921,20.15236816,0
30.8,18.2,32.95823288,68.40589142,29.53362427,20.42858276,0
29.4,20.5,35.51446533,83.25350189,30.51015625,20.12966309,1
33,20.9,39.79836655,73.59719849,29.24251709,21.92150269,0
29.4,22.1,47.7845726,77.3120575,28.48073731,21.68282471,0
25.6,21.4,57.91845703,79.3711319,27.62023315,21.9454895,0
31.3,22.7,42.83263016,80.55793762,33.22884522,23.94664917,1
35.7,26,83.9175415,91.7543869,26.43139038,24.48357544,0
28,24,85.1789093,93.70043945,24.74697266,22.67061768,0
25.7,22.3,52.54607773,92.40179443,30.17382202,22.29750977,0
31.7,22.7,32.81633377,87.20348358,34.48851929,23.33919678,1
35.3,22.8,41.33225632,67.60797119,29.0699707,20.95577393,0
28.4,22.5,49.9740448,78.15525818,26.56051025,19.01851807,0
29.2,20.1,64.89105225,76.54297638,26.01744995,21.21569214,0
30,21.2,52.17136002,85.98047638,31.89577637,23.98259888,0
31.4,24.8,65.38618469,89.77313232,30.51195679,24.93132935,0
30.9,24.7,47.33383179,89.61733246,31.94881592,25.6345459,1
32.4,25.8,53.82800674,84.31604767,30.39550171,25.38930664,0
31.9,25.1,81.99731445,95.89881897,26.44680176,24.71749268,0
27.3,24,66.61405182,92.63593292,28.86748657,24.30651245,0
31,24.2,56.63383484,93.70890808,27.67910156,23.70983276,0
30.2,25,55.80398941,87.84147644,30.75213013,24.20687256,1
32.4,25.1,82.71414185,95.0007019,28.89925537,25.59520874,0
29.5,25.3,68.76663971,92.96931458,31.43181763,25.99324951,1
35.1,25.9,60.49094009,89.51342011,30.66356812,26.14815674,1
33,26.5,66.48684692,89.552948,30.53164063,25.78054199,1
33.1,26,71.92919922,90.03157806,29.24096069,25.63253174,0
29.9,24,64.66201019,93.31206512,31.51384888,25.75664673,1
32.5,26,55.85832977,88.91864014,31.85561523,24.8779541,1
33.5,25.6,75.16220093,91.8237915,29.33959351,25.25841675,1
34.6,26.6,47.43315506,87.70755005,33.80846558,25.52556763,1
35.5,25.6,51.92315674,88.38274384,34.72457275,26.33684692,1
