CDOM,Chl,MLD,SSS,SST,Band1,Band2,Band3,Band4,Band1/2,Band1/3,Band1/4,Band2/3,Band2/4,Band3/4,fCO2_SEA
0.002447304,0.014046228,52.23272931,34.51706333,15.97573667,0.000984672,3.99E-05,0.000825309,0.000129207,24.70848806,1.193094208,7.620904796,0.048286816,0.308432664,6.387513029,333.9250996
0.084555417,0.715211391,10.88937974,34.2723,8.7829,0.003934478,0.003814213,0.003999748,0.002601337,1.031530984,0.983681618,1.512483064,0.953613253,1.466250735,1.537573781,319.10 
0.078017451,0.675983667,3.150222486,34.1167,7.2297,0.005101969,0.004845656,0.004704827,0.002981701,1.052895618,1.084411817,1.711093627,1.029932881,1.625131302,1.577900204,313.68 
0.126969472,1.118414402,52.88204248,34.52056667,16.334275,0.003436722,0.002300211,0.002888964,0.002299362,1.494089783,1.189603536,1.494641839,0.796206192,1.000369493,1.256420138,325.75 
0.1189344,1.162087321,25.33550696,32.47,17.73305,0.006720573,0.006203666,0.006001181,0.004858302,1.083322725,1.119875116,1.383317079,1.033740999,1.276920577,1.235242269,376.4947661
0.100772448,0.903699934,1.677702129,34.1833,7.6902,0.005629862,0.004783935,0.004518928,0.003269048,1.17682667,1.245840205,1.722171927,1.058643755,1.463403211,1.382337735,285.15 
0.119068407,1.103145719,6.420942299,32.06,19.77195,0.004945529,0.004143643,0.003923893,0.003104042,1.193521851,1.260362639,1.593254424,1.056002987,1.334918521,1.264123811,388.017047
0.073857784,0.652191937,3.791156485,33.3852,24.3401,0.005899212,0.005733913,0.00556722,0.003470561,1.028828315,1.059633409,1.699786474,1.029941919,1.652157555,1.604126917,413.61 
0.232800841,5.383836746,43.92493526,34.1,15.2135,0.001429226,0.001381654,0.002674221,0.004085357,1.034431504,0.534445903,0.349841256,0.516656638,0.338196637,0.654586842,398.96 
0.172594279,1.955941558,20.85731818,34.178,14.60875,0.001726459,0.002676853,0.002491417,0.00252768,0.644958493,0.692962795,0.683021455,1.074430065,1.059016142,0.985653861,304.10 
0.22453703,3.124789238,31.37408146,34.54945,16.80915,0.000937709,0.00021544,0.001430976,0.001763039,4.352531361,0.655293782,0.531871045,0.150554638,0.122198096,0.811652817,326.87 
0.183425769,2.303833485,21.26285141,34.2269,11.7238,0.003898673,0.003176714,0.004316931,0.004691862,1.227265981,0.903112052,0.830943557,0.735873125,0.677068842,0.920089102,297.20 
0.108218357,0.945241153,5.232398743,32.59,26.0713,0.003815716,0.003393001,0.003634392,0.002682975,1.124584329,1.049891179,1.422195991,0.933581548,1.264641481,1.354612763,375.50 
0.115936376,1.071956873,6.111854401,32.07,20.7385,0.004719233,0.004404726,0.004125778,0.003222317,1.07140221,1.143840886,1.464546637,1.067611094,1.366943827,1.280376192,393.0069115
