AOD,AE,RSDN,Temp,Dew,RH,MaxWS,PBLH,Visibility,DOY,PM10
0.34964,0.28254,329.73,22.249,9.4994,45.634,7.3468,982.03,28444,0.47754,28
0.24141,1.2211,304.62,18.483,3.3293,43.995,6.3382,1542.9,27492,0.085965,18
0.41815,0.86306,273.87,18.929,8.0229,51.336,15.262,1522.1,27800,0.43278,27
0.10881,0.61848,332.38,20.323,4.5264,40.337,9.9102,731.52,28308,0.49378,29
0.15411,0.24486,333.62,14.295,9.6172,73.288,8.9156,578.83,25857,0.47754,14
1.3085,1.1621,190.23,14.122,7.8741,68.06,5.4566,463.61,25827,-0.30492,24
0.13368,0.24739,331.82,20.459,9.0695,50.293,7.5917,1310.2,27889,0.46238,23
0.098684,0.62599,228.56,7.6275,-11.514,27.385,7.0205,1773.7,29385,-0.5667,26
0.23441,0.29712,328,19.985,6.0109,42.714,10.099,744.59,28376,0.49378,28
0.46164,0.45503,321.7,19.436,7.047,50.646,7.8898,622.01,27354,0.33664,21
0.55679,0.28531,253.74,9.2822,-5.7073,36.265,8.4023,1690.1,28985,-0.36876,28
0.094526,0.63256,327.21,20.772,7.6851,45.102,10.885,1255.3,28397,0.28772,28
0.15283,0.25425,323.38,17.977,8.1776,54.954,10.23,1450.8,27455,0.50742,25
0.2003,0.40294,220.04,9.8619,4.5543,69.979,11.304,611.51,25963,-0.25535,16
0.053959,0.63064,337.67,24.175,8.8978,38.226,6.2506,879.67,28965,0.60848,29
0.34358,0.2442,258.63,13.492,2.1468,47.326,8.0175,1278.5,28367,-0.068615,23
0.99258,0.36996,185.23,18.524,12.179,67.214,15.36,1250.8,26377,-0.23867,24
0.35453,0.29607,234.27,13.802,6.5765,63.369,10.92,956.98,26314,-0.25535,14
0.29558,0.45839,229.36,13.65,6.2575,62.394,11.415,743.48,26539,-0.25535,4
0.21024,0.31616,315.43,23.804,8.269,38.654,6.4736,1418.9,28876,0.59473,28
0.21844,0.30919,289.61,16.727,-4.7521,23.874,11.545,1987.9,29507,-0.17083,13
0.33727,0.83523,320.77,24.086,12.709,51.232,5.9874,1144.5,27854,0.60706,25
