T_ann,T_sM,T_sm,T_wM,T_wm ,P_ann,P_sM,P_sm,P_wM,P_wm ,dem,target
11.679,23.762,14.579,13.429,-4.3825,31.661,6.196,2.0682,2.0403,0.7036,10,Dwc
11.685,23.295,14.582,14.547,-5.2312,31.668,6.1971,2.0672,2.0401,0.70397,86,Dwc
11.78,22.841,14.845,15.105,-4.335,31.702,6.2047,2.0641,2.037,0.70426,143,Dwc
11.578,22.829,14.567,15.105,-4.88,31.688,6.2012,2.0651,2.0386,0.70434,99,Dwc
11.752,23.311,14.771,15.476,-5.3425,31.675,6.198,2.0661,2.0399,0.70434,111,Dwc
11.679,23.762,14.579,13.429,-4.3825,31.664,6.193,2.0692,2.0402,0.70519,13,Dwc
11.685,23.295,14.582,14.547,-5.2312,31.671,6.1941,2.0682,2.04,0.70555,52,Dwc
11.214,22.633,14.066,13.024,-4.5288,31.691,6.1984,2.0661,2.0386,0.70593,100,Dwc
11.578,22.829,14.567,15.105,-4.88,31.678,6.1952,2.0671,2.0399,0.70593,64,Dwc
11.511,23.055,14.373,14.14,-4.6525,31.674,6.1912,2.0691,2.04,0.70715,23,Dwc
11.578,22.829,14.567,15.105,-4.88,31.681,6.1924,2.0681,2.0399,0.70752,49,Dwc
11.214,22.633,14.066,13.024,-4.5288,31.695,6.1956,2.0672,2.0387,0.70754,54,Dwc
11.537,22.939,14.255,14.782,-4.5413,31.672,6.1842,2.0723,2.04,0.70993,46,Dwc
4.8236,19.571,8.9518,6.3388,-15.816,40.634,8.7783,1.9996,2.7935,0.62255,1398,Dwc
4.7787,20.156,8.9965,5.8259,-16.384,40.641,8.7793,2.0017,2.8024,0.62421,1405,Dwc
4.652,19.291,8.6529,5.6729,-15.789,40.442,8.7711,1.9685,2.7084,0.62426,1397,Dwc
5.1563,21.255,9.5188,6.3388,-17.164,40.635,8.7793,2.0015,2.805,0.62557,1446,Dwc
4.7787,20.156,8.9965,5.8259,-16.384,40.447,8.772,1.9703,2.7165,0.62593,1400,Dwc
4.4165,19.275,8.5682,5.4424,-15.93,40.249,8.7639,1.9374,2.6234,0.62597,1396,Dwc
5.166,21.052,9.4871,6.3224,-16.78,40.587,8.7756,1.9936,2.7866,0.62598,1460,Dwc
