T_ann,T_sM,T_sm,T_wM,T_wm ,P_ann,P_sM,P_sm,P_wM,P_wm ,dem,target
10.479,28.301,13.591,16.911,-15.735,38.325,8.8161,1.7088,2.0726,0.62832,757,Dwc
11.343,29.228,14.524,17.818,-15.208,38.36,8.8006,1.7073,2.0783,0.62915,686,Dwc
11.251,29.002,14.455,17.286,-15.231,38.346,8.8046,1.7073,2.0785,0.62955,724,Dwc
11.028,29.065,14.204,17.581,-15.086,38.333,8.8088,1.7073,2.0788,0.62995,796,Dwc
10.922,29.22,14.152,17.287,-16.4,38.368,8.7935,1.7058,2.084,0.63076,723,Dwc
11.079,29.259,14.619,17.618,-16.271,38.355,8.7975,1.7058,2.0845,0.63116,787,Dwc
11.028,29.065,14.204,17.581,-15.086,38.341,8.8014,1.7057,2.085,0.63156,819,Dwc
10.327,28.222,13.669,17.249,-16.464,38.388,8.7826,1.7043,2.0891,0.63196,700,Dwc
10.56,28.724,13.921,17.271,-16.841,38.376,8.7864,1.7043,2.0898,0.63237,782,Dwc
10.399,28.902,14.199,17.246,-16.77,38.363,8.7903,1.7042,2.0905,0.63277,842,Dwc
10.481,28.805,14.164,17.145,-16.593,38.35,8.7941,1.7042,2.0912,0.63318,856,Dwc
10.397,26.185,13.681,17.053,-13.681,41.767,10.703,2.0969,2.2932,0.48879,439,Dwa
10.998,27.056,14.135,17.3,-13.033,41.753,10.7,2.0946,2.2926,0.48902,429,Dwa
10.998,27.056,14.135,17.3,-13.033,41.739,10.696,2.0924,2.2919,0.48925,371,Dwa
11.546,28.414,14.738,18.014,-13.005,41.722,10.686,2.0896,2.2943,0.48952,355,Dwa
11.869,29.113,15.286,18.742,-13.077,41.705,10.674,2.0865,2.2982,0.4898,377,Dwa
11.193,27.854,14.287,17.406,-13.569,41.734,10.684,2.0966,2.2917,0.49058,466,Dwa
11.709,28.342,14.782,17.826,-12.991,41.721,10.681,2.0944,2.2911,0.49083,353,Dwa
11.709,28.342,14.782,17.826,-12.991,41.707,10.677,2.0922,2.2904,0.49109,320,Dwa
11.997,29.101,15.168,18.366,-12.758,41.691,10.668,2.0895,2.2927,0.49136,330,Dwa
12.004,29.408,15.307,18.708,-13.279,41.674,10.656,2.0865,2.2963,0.49165,360,Dwa
12.483,29.111,15.485,18.041,-12.266,41.701,10.664,2.0964,2.2902,0.49239,304,Dwa
12.483,29.111,15.485,18.041,-12.266,41.688,10.662,2.0942,2.2896,0.49265,293,Dwa
12.892,29.653,15.873,19.054,-12.245,41.675,10.659,2.092,2.2889,0.49292,297,Dwa
12.738,29.493,15.913,19.28,-12.531,41.66,10.649,2.0893,2.2911,0.4932,308,Dwa
12.351,29.16,15.479,19.135,-12.916,41.643,10.637,2.0864,2.2944,0.49349,313,Dwa
12.719,29.269,15.959,19.136,-12.161,41.644,10.64,2.0918,2.2875,0.49475,361,Dwa
12.521,29.079,15.893,19.472,-12.469,41.628,10.631,2.0892,2.2895,0.49504,374,Dwa
12.199,28.956,15.673,19.424,-13.04,41.611,10.619,2.0863,2.2925,0.49533,404,Dwa
12.769,29.041,15.718,18.142,-11.235,41.635,10.626,2.0958,2.2872,0.49598,307,Dwa
12.769,29.041,15.718,18.142,-11.235,41.623,10.624,2.0937,2.2866,0.49628,312,Dwa
12.719,29.269,15.959,19.136,-12.161,41.597,10.613,2.0891,2.2878,0.49688,378,Dwa
12.521,29.079,15.893,19.472,-12.469,41.58,10.601,2.0863,2.2906,0.49718,383,Dwa
15.662,27.429,19.182,18.973,-1.67,32.358,7.0972,1.6494,1.9295,1.0723,57,Cwc
15.404,27.524,18.814,18.124,-1.7363,32.351,7.1001,1.6485,1.9278,1.0737,41,Cwc
15.111,26.589,18.501,18.242,-1.885,32.344,7.103,1.6476,1.926,1.075,57,Cwc
15.297,26.726,18.747,18.256,-1.265,32.354,7.0931,1.6525,1.9305,1.0754,38,Cwc
